"quantity","reported","computed","difference"
"t1",0.9854,0.985382785131819,-1.72148681809592e-05
"T",1.7527,1.7526688282234,-3.11717765983932e-05
"fuzzy_total_cost",239.4447,239.445958447173,0.00125844717319978
